S.No.,HSCode,Commodity,2020-2021,%Share,2021-2022,%Share,%Growth
2192,29199030,IRON GLYCEROPHOSPHATE,,,0.02,0,
2193,29199040,SODIUM GLYCEROPHOSPHATE,0.05,0,,,
2194,29199050,TRICRESYL PHOSPHATE,0.05,0,0.13,0,156.51
2195,29199090,OTHER PHASPHRC ESTERS AND THEIR SALTS,19.23,0.0049,27.3,0.0045,42
2196,29201100,PARATHION (ISO) AND PARATHION-METHYL (ISO),,,,,
2197,29201920,"THIOPHOSPHORIC ESTERS (PHOSPHOROTHIOATES) AND THEIR SALTS, THEIR BALOGENATED, SULPHONATED,NITRATED OR NITROSATED D",9.93,0.0025,12.31,0.002,23.97
2198,29201990,"OTHER THIOPHOSPRIC ESTRS(PHOSPHORTHIOATES) AND THR SALTS; THR HALGNTED, SULPHONTD, NITRATD OR NITRASTD DERIVTVS.",4.4,0.0011,4.8,0.0008,9.23
2199,29202100,DIMETHYL PHOSPHITE,0.45,0.0001,0.55,0.0001,22.08
2200,29202200,DIETHYL PHOSPHITE,0.19,0,0.74,0.0001,287.07
2201,29202300,TRIMETHYL PHOSPHITE,,,1.65,0.0003,
2202,29202400,TRIETHYL PHOSPHITE,1.59,0.0004,2.67,0.0004,67.84
2203,29202910,DIMETHYL SULPHATE,0.74,0.0002,1.05,0.0002,42.75
2204,29202930,"TRIS (2, 3 DIBROMOPROPYL) PHOSPHATE",0.13,0,1.21,0.0002,816.68
2205,29202990,OTHER,13.3,0.0034,24.38,0.004,83.23
2206,29203000,ENDOSULFAN (ISO),0,0,,,
2207,29209000,OTHER,97.43,0.0247,109.65,0.0179,12.55
2208,29211110,DIMETHYL FORMIDE,53.65,0.0136,125.45,0.0205,133.82
2209,29211190,"FORMAMIDE,N.E.S.",30.2,0.0077,29.95,0.0049,-0.82
2210,29211200,"2-(N, N-DIMETHYLAMINO)ETHYLCHLORIDE HYDROCHLORIDE",0.85,0.0002,0.5,0.0001,-41.22
2211,29211300,"2-(N, N-DIETHYLAMINO)ETHYLCHLORIDE HYDROCHLORIDE",,,0,0,
2212,29211400,"2-(N, N-DIISOPROPYLAMINO)ETHYLCHLORIDE HYDROCHLORIDE",,,,,
2213,29211910,"2-CHLORO N, N-DIISOPROPYL ETHYLAMINE",1.23,0.0003,0.04,0,-97.13
2214,29211920,"2-CHLORO N, N-DIMETHYL ETHANAMINE",0.16,0,0.25,0,52.25
2215,29211990,OTHER,58.6,0.0149,66.95,0.0109,14.24
2216,29212100,ETHYLENEDIAMINE AND ITS SALTS,61.07,0.0155,94.57,0.0154,54.85
2217,29212200,HEXAMETHYLENEDIAMINE AND ITS SALTS,3.25,0.0008,2.65,0.0004,-18.25
2218,29212910,HEXAMETHYLENE TETRAMINE (HEXAMINE) NOT PUT UP AS FUEL OR MEDICAMENT,6.11,0.0015,10.67,0.0017,74.55
2219,29212920,TRIMETHYLENE TRINIFRAMINE,0.09,0,0.09,0,4.91
2220,29212990,"OTHER ACYLC PLYAMINS THR DRVTVS, SALTS THEREOF",62.47,0.0158,85.36,0.0139,36.64
2221,29213010,CYCLOHEXYLAMINE,4.82,0.0012,12.11,0.002,151.47
2222,29213090,"OTHER CYCLANIC CYCENIC/CYCLOTRPNC MONO OR POLYAMINS AND THR DRVTVS, SALTS",32.48,0.0082,48.02,0.0078,47.84
2223,29214110,ANILINE,64.27,0.0163,152.13,0.0248,136.68
2224,29214120,ANILINE HYDROCHLORIDE,0,0,0,0,"1,500.00"
2225,29214190,OTHR ANILINE SALTS,24.91,0.0063,15.73,0.0026,-36.84
2226,29214211,PARA CHLOROANILINE,1.32,0.0003,0.47,0.0001,-64.73
2227,29214212,ORTHO CHLORO PARANITROANILINE,0.13,0,0.31,0.0001,145.03
2228,29214213,DICHLOROANILINE,0.56,0.0001,0.56,0.0001,-0.27
2229,29214214,2:6-DICHLORO PARANITROANILINE,2.23,0.0006,2.19,0.0004,-1.77
2230,29214215,2-4-5-TRICHLOROANILINE,,,0,0,
2231,29214221,BENZYL ETHYL ANILINE,,,0,0,
2232,29214222,DIETHYLANILINE,2.02,0.0005,2.49,0.0004,23.36
2233,29214223,DIMETHYL ANILINE,,,0.01,0,
2234,29214224,ETHYL ANILINE,0.13,0,2.12,0.0003,"1,540.88"
2235,29214225,META NITROANILINE,,,0,0,
2236,29214226,PARA NITROANILINE,1.24,0.0003,1.74,0.0003,40.34
2237,29214232,BENZYL ETHYL ANILINE SULPHONIC ACID,0.09,0,,,
2238,29214233,METANILC ACDCMETA AMINOBNZN SLPHNC ACD),0,0,0.03,0,"31,800.00"
2239,29214234,SULPHANILIC ACID(PARA AMINOBNZN SLPHNC ACID PARA ANILINE SULPHONIC ACID),8.77,0.0022,19.7,0.0032,124.6
2240,29214236,"METHYL DOPA(L-ALPHA METHYL-3, 4-DIHYDROXYPHENYLALANINE)",11.2,0.0028,10.65,0.0017,-4.94
2241,29214290,OTHER AMINO SULPHONIC ANILINE ETC NES,59.84,0.0152,53.89,0.0088,-9.93
2242,29214310,DIETHYL TOLUIDINE,0.02,0,,,
2243,29214320,DIMETHYL TOLUIDNE,0,0,0.06,0,"7,900.00"
2244,29214330,ORTHO TOLUIDINE,0.53,0.0001,0.16,0,-70.82
2245,29214340,META TOLUIDINE,1.75,0.0004,1.4,0.0002,-20.04
2246,29214350,PARA TOLUIDNE,4.18,0.0011,3.62,0.0006,-13.54
2247,29214360,2-CHLORO-5-TOLUIDINE-4-SULPHONIC ACID,1.39,0.0004,0.54,0.0001,-61.08
2248,29214370,2-CHLORO-4-TOLUIDN-5-SLPHNC ACID(SOD SLT),0.04,0,,,
2249,29214380,4-TOLUIDINE-3-SULPHONIC ACID,2.5,0.0006,3.22,0.0005,28.63
2250,29214390,OTHR TOLUIDINES AND THR DRVTVS SLTS THEREOF,24.45,0.0062,28.81,0.0047,17.81
2251,29214410,DIPHENYLAMINE,7.53,0.0019,15.71,0.0026,108.58
2252,29214490,OTHR DIPHNYLAMINE AND ITS DRVTVS;SLTS THROF,10.82,0.0027,5.3,0.0009,-50.96
2253,29214511,ALPHA NAPHTHYLAMINE,0.61,0.0002,,,
2254,29214512,PHENYL ALPHA NAPHTHYLAMINE,0.74,0.0002,0.13,0,-82.15
2255,29214514,AMINO F-ACID,,,0,0,
2256,29214515,AMINOLINELI-R-ACID,,,0.34,0.0001,
2257,29214516,SODIUM NAPHTHIONATE,13.66,0.0035,12.07,0.002,-11.66
2258,29214522,CLEVES ACID(1 NAPHTHYLAMN-6-SLPHNC ACID),0.08,0,0.06,0,-27.22
2259,29214524,"KCHS ACD(1-NPTHYLAMN-3,6,8-TRISLPHNC ACD)",1.18,0.0003,1.06,0.0002,-10.04
2260,29214525,LAURENTS ACID(1-NPHTHYLAMN-5-SLPHNC ACID),0.16,0,0.16,0,-2.33
2261,29214526,TOBIAS ACID(2-NAPHTHYLAMINE-1-SLPHNC ACD),20.46,0.0052,14.43,0.0024,-29.47
2262,29214531,NAPTHIONIC ACD(1-NPHTHYLAMN-4-SLPHNC ACD),2.44,0.0006,1.91,0.0003,-21.89
2263,29214533,PHENYL PERI ACID(PHENYL-1 NAPHTHYLAMINE-8-SULPHONIC ACID),0,0,,,
2264,29214590,OTHR 1-NPTHYLAMN 2-NPTHYLAMN AND THEIR DRVTVS AND SLTS THREOF,16.14,0.0041,14.76,0.0024,-8.55
2265,29214600,AMFETAMINE BENZFETAMINE ETC THR SALTS,0.67,0.0002,0.17,0,-74.9
2266,29214910,XYLIDINES,4.2,0.0011,7.35,0.0012,75.26
2267,29214920,PARA CUMIDINE,0.01,0,,,
2268,29214990,OTHER ARMTC MONO AMNS AND THR DRVTVS AND SALTS,26.83,0.0068,35.07,0.0057,30.72
2269,29215110,O- PHENYLENEDIAMINE,7.57,0.0019,17.46,0.0028,130.84
2270,29215120,M-PHENYLENEDIAMINE (M-DIAMINOBENZENE),16.72,0.0042,21.4,0.0035,28.02
2271,29215130,P-PHENYLENEDIAMINE,5.03,0.0013,10.26,0.0017,103.82
2272,29215140,O-DIAMINOTOLUENE,0.21,0.0001,0.33,0.0001,58.14
2273,29215150,M-DIAMINOTOLUENE,,,0.04,0,
2274,29215180,META TOLUYLENE DIAMINE,,,0.04,0,
2275,29215190,OTHR O-M-P-PHNYLENEDIAMINE DIAMINOTOLUENE AND THEIR DRVTVS SALTS THEREOF,16.11,0.0041,21.92,0.0036,36.1
2276,29215910,BENZIDINE,,,0.03,0,
2277,29215920,BENZIDINE DIHDROCHLORIDE,,,0,0,
2278,29215930,"3:3 DICNLOROBEZIDINE DIHYDROCHLORIDE, SULPHATE",,,0,0,
2279,29215940,"DIAMINOSTILBENE 2,2-DISULPHONIC ACID (DASDA)",3.32,0.0008,7.4,0.0012,122.67
2280,29215990,OTHER ARMTC PLYAMNS AND THR DRVTVS AND SLTS,20.21,0.0051,28.13,0.0046,39.14
2281,29221110,MONOETHANOLAMINE,19.35,0.0049,46.26,0.0075,139.06
2282,29221190,OTHER SALTS OF MONOETHANOLAMINE,9.37,0.0024,12.22,0.002,30.49
2283,29221200,DIETHANOLAMINE AND ITS SALTS,14.72,0.0037,20.49,0.0033,39.2
2284,29221400,DEXTROPROPOXYPHENE (INN) AND ITS SALTS,0.04,0,,,
2285,29221500,TRIETHANOLAMINE,14.47,0.0037,20.84,0.0034,44.04
2286,29221600,DIETHANOLAMMONIUM PERFLUOROOCTANE SULPHONATE,0.11,0,0,0,-99.08
2287,29221710,METHYLDIETHANOLAMINE,0.03,0,1.09,0.0002,"3,223.24"
2288,29221720,ETHYLDIETHANOLAMINE,0,0,0,0,0
2289,29221800,"2-(N, N-DIISOPROPYLAMINO)ETHANOL",,,0,0,
2290,29221910,"2-HYDROXY N, N-DIISOPROPYL ETHYLAMINE",0.35,0.0001,0.12,0,-65.95
2291,29221990,OTHER,123.49,0.0313,146.22,0.0239,18.4
2292,29222110,AMINO-G-ACID,0.1,0,0.02,0,-78.45
2293,29222120,AMINO-J-ACID,0.01,0,0.03,0,167.71
2294,29222130,1-AMINO-2-NAPHTHOL-4-SULPHONIC ACID,0.13,0,0.02,0,-84.73
2295,29222150,J ACID (2-AMINO-5-NAPTHOL-7 SLPHNC ACID),39.76,0.0101,29.06,0.0047,-26.91
2296,29222160,H-ACID,32.99,0.0084,22.98,0.0037,-30.36
2297,29222190,OTHER AMNOHYDRXY NPHTHLENE SLPHNC ACDS AND THR SLTS,14.91,0.0038,12.85,0.0021,-13.79
2298,29222911,2-AMINO 4-NITROPHENOL,1.14,0.0003,1,0.0002,-12.24
2299,29222912,META AMINOPHENOL THN ONE KIND OF OXYGEN FUNCTION ;SALTS,0.35,0.0001,0.05,0,-86.62
2300,29222913,PARA AMINOPHENOL,107.72,0.0273,162.37,0.0265,50.73
2301,29222914,META DIETHYL AMINO-PHENOL,1.72,0.0004,2.29,0.0004,33.78
2302,29222921,2-AMINO-1-PHENOL-4-SULPHONIC ACID,,,,,
2303,29222922,6-NITRO-0-AMINOPHENOL-4-SULPHONIC ACID,2.16,0.0005,0.56,0.0001,-74.24
2304,29222923,PHENYL GAMA ACID(PHENYL 2-AMINO - 0 NAPHTHOL -6- SULPHONIC ACID),,,0.15,0,
2305,29222926,META-PHENYLENE DIAMENE-4-SULPH0NIC ACID,2.81,0.0007,15.52,0.0025,453.27
2306,29222932,2:5 DIMETHOXY ANILINE,,,0.02,0,
2307,29222933,PARA ACETYL AMINOPHENOL(PARACETAMOL),9.99,0.0025,16.83,0.0027,68.54
2308,29222934,PARA CRESIDINE,8.56,0.0022,7.49,0.0012,-12.45
2309,29222935,PICRAMIC ACID (T-GRADE),0.07,0,0.15,0,101.64
2310,29222936,PARA CRESIDINE ORTHO SULPHONIC ACID,0.02,0,,,
2311,29222990,"OTHER AMINO-NAPHTHOLS AND OTHER AMINO- PHENOLS, THEIR ETHERS,ESTERS AND SALTS",102.33,0.0259,112.39,0.0183,9.84
2312,29223100,"AMFEPRA NONE(INN), METHDONE AND MORMETHADONESALTS",,,0,0,
2313,29223900,OTHER AMINO-ALDEHYDES ETC CNTNG MORE THAN OXGN FN. SALTS,12.23,0.0031,18.11,0.003,48.09
2314,29224100,LYSINE AND ITS ESTERS SALTS THEREOF,65.92,0.0167,135.74,0.0221,105.93
2315,29224210,GLUTAMIC ACID,0.73,0.0002,1.32,0.0002,81.7
2316,29224220,MONOSODIUM GLUTAMATE (AZINAMOTO),33.57,0.0085,61.74,0.0101,83.91
2317,29224290,OTHER GLUTAMIC ACID AND ITS SALTS,17.7,0.0045,17.29,0.0028,-2.28
2318,29224300,ANTHRANILIC ACID AND ITS SALTS,0.02,0,,,
2319,29224910,AMINO ACETIC ACID (GLYCINE),13.33,0.0034,20.58,0.0034,54.37
2320,29224920,N-METHYL TAURINE,0.41,0.0001,1.27,0.0002,211.56
2321,29224990,OTHER AMINO ACIDS AND THR ESTERS CNTNG NOT MORE THAN ONE KIND OXGN FN.,104.17,0.0264,120.82,0.0197,15.98
2322,29225011,PARA-AMINO-SALICYLIC ACID,0.4,0.0001,0.14,0,-65.34
2323,29225012,METHYL ANTHRANILATE,0.1,0,0.04,0,-55.77
2324,29225013,PROCAINE HYDROCHLORIDE,0.01,0,,,
2325,29225014,AMINO ANISIC ACID ANILIDE,2.24,0.0006,1.13,0.0002,-49.46
2326,29225015,L-TYROSINE(P-HYDROXYPHENYLAMINE),2.22,0.0006,3.92,0.0006,76.57
2327,29225021,FRUSEMIDE,0.48,0.0001,0.23,0,-53.15
2328,29225022,AMINODIAL,0.58,0.0001,0.53,0.0001,-9.31
2329,29225023,N-ACETYL ANTHRANILIC ACID,0,0,,,
2330,29225024,D0MPERID0NE,0.04,0,0.07,0,72.35
2331,29225090,OTHER FRUSEMIDE AMINODIAL DOMPERIDONE,78.75,0.02,102.35,0.0167,29.95
2332,29231000,CHOLINE AND ITS SALTS,0.67,0.0002,0.92,0.0001,37.93
2333,29232010,LECITHINS,29.63,0.0075,39.61,0.0065,33.7
2334,29232090,OTHERS (PHOSPHOAMINOLIPIDS),7.91,0.002,11.42,0.0019,44.41
2335,29233000,TETRAETHYLAMMONIUM PERFLUOROOCTANE SULPHONATE,0.16,0,0.91,0.0001,456.32
2336,29234000,DIDECYLDIMETHYLAMMONIUM PERFLUOROOCTANE SULPHONATE,0,0,0,0,-81.82
2337,29239000,OTHER QUATERNARY AMMONIUM SALTS AND HYDROXDELECITHINS AND OTHR PHOSPHOAMINOLIPIDS,25.46,0.0065,33.38,0.0054,31.12
2338,29241100,MEPROBAMATE (INN),1.01,0.0003,1.84,0.0003,82.23
2339,29241200,"FLUOROACETAMIDE (ISO), MONOCROTOPHOS (ISO) AND PHOSPHAMIDON (ISO)",0,0,,,
2340,29241900,"OTHER ACYCLIC AMIDES AND THEIR DERIVTVS, SALTS",75.43,0.0191,102.14,0.0167,35.42
2341,29242110,DIETHYL DIPHENYL UREA,0.19,0,0.95,0.0002,399.58
2342,29242120,DIMETHYL DIPHENYL UREA (ZENTRALIN),,,0.02,0,
2343,29242190,OTHER UREINES AND THR DRVTVS SALTS THEREOF,14.69,0.0037,17.13,0.0028,16.59
2344,29242300,2-ACETAMIDOBENZOIC ACID (N-ACETYLANTHRANILIC ACID ) AND ITS SALTS,,,0,0,
2345,29242500,ALACHLOR (ISO),,,,,
2346,29242910,ACETANILIDE,4.14,0.001,7.7,0.0013,86.17
2347,29242920,ACETO ACETANILIDE,6.26,0.0016,9.62,0.0016,53.56
2348,29242930,ACETO ACETIC ORTHO CHLORANILIDE,1.26,0.0003,1.75,0.0003,38.8
2349,29242940,ACETO ACETIC PARA CHLORANILIDE,0.04,0,0.02,0,-61.63
2350,29242950,PHENYL ACETAMIDE,,,0.05,0,
2351,29242960,PYRAZINAMIDE(PYRAZINE CARBOXAMIDE),0.18,0,0.48,0.0001,163.79
2352,29242990,OTHER CYCLIC AMIDES AND THR DRVTVS AND SALTS,129.61,0.0329,178.49,0.0291,37.72
2353,29251100,SACCHARIN AND ITS SALTS,5.92,0.0015,5.89,0.001,-0.44
2354,29251900,OTHR IMIDES AND THR DRVTVS SLTS THEREOF,12.77,0.0032,12.57,0.0021,-1.59
2355,29252910,GUANIDINE NITRATE,0.09,0,0.06,0,-27.94
2356,29252990,"OTHER IMINES AND THEIR DERIVTVS, SALTS THEREOF",16.66,0.0042,30.23,0.0049,81.44
2357,29261000,ACRYLONITRILE,163.43,0.0414,399.31,0.0651,144.33
2358,29262000,1-CYANOGUANIDINE(DICYANDIAMIDE),76.57,0.0194,127.5,0.0208,66.51
2359,29264000,ALPHA-PHENYLACETOACETONITRILE,0,0,0.19,0,"8,728.57"
2360,29269000,OTHR NITRILE-FUNCTION COMPOUNDS,248.15,0.0629,269.97,0.044,8.79
2361,29270010,PARA AMINO-AZO-BENZENE,1.2,0.0003,2.03,0.0003,70.05
2362,29270090,OTHER DIAZO-AZO-OR AZOXY-COMPOUNDS,17.25,0.0044,32.49,0.0053,88.28
2363,29280010,ISONIAZID,4.15,0.0011,1.35,0.0002,-67.45
2364,29280090,OTHR ORGNC DRVTS OF HYDRAZINE/HYDRXYLMINE,60.78,0.0154,51.65,0.0084,-15.01
2365,29291010,PHENYL ISOCYANATE,18.71,0.0047,19.2,0.0031,2.63
2366,29291020,TOLUENE DIISOCYANATE,64.05,0.0162,99.71,0.0163,55.68
2367,29291090,OTHER ISOCYANATES,123.47,0.0313,169.38,0.0276,37.18
2368,29299010,"N,N-DIETHYLPHOSPHORAMIDIC DICHLORIDE",0.02,0,0.08,0,314.43
2369,29299030,"N,N-DIPROPYLPHORAMIDIC DICHLORIDE",,,0.66,0.0001,
2370,29299050,"DIETHYL N,N-DIMETHYLPHOSPHORAMIDATE",0,0,0,0,"1,333.33"
2371,29299060,"PHOSPHORAMIDIC ACID, DIETHYL, DIMETHYLESTER",,,0,0,
2372,29299090,OTHER,3.98,0.001,6.07,0.001,52.29
2373,29302000,THIOCARBAMATES AND DITHIOCARBAMATES,1.53,0.0004,2.05,0.0003,34.08
2374,29303000,"THIURAM MONO-,DI-OR TETRASULPHIDES",0.29,0.0001,2.79,0.0005,850.15
2375,29304000,METHIONINE,102.15,0.0259,144.91,0.0236,41.87
2376,29306000,"2-(N, N-DIETHYLAMINO)ETHANETHIOL",,,,,
2377,29307000,BIS(2-HYDROXYETHYL)SULFIDE (THIODIGLYCOL (INN)),0.14,0,0,0,-96.92
2378,29308000,"ALDICARB (ISO), CAPTAFOL (ISO) AND METHAMIDOPHOS (ISO)",0,0,,,
2379,29309010,THIOUREA(SULPHOUREA),4.95,0.0013,5.92,0.001,19.47
2380,29309020,CALCIUM SALTS OF METHIONINE,0.06,0,0.02,0,-74.62
2381,29309030,THIO SULPHONIC ACID,,,0.03,0,
2382,29309040,L-CYSTINE (ALPHA-AMINO BETA-THIO PROPIONICACID)-SULPHUR CONTAINING AMINO ACID,16.88,0.0043,20.53,0.0033,21.62
2383,29309050,SULPHINIC ACID,3.65,0.0009,6.76,0.0011,85.19
2384,29309060,SULPHOXIDE,14.34,0.0036,27.94,0.0046,94.76
2385,29309070,MERCAPTAN,9.38,0.0024,13.6,0.0022,44.98
2386,29309080,ALLYL ISOTHIDCYANATE,0,0,0,0,"1,700.00"
2387,29309091,"ETHANOL, 2, 2-THIOBIS",0.71,0.0002,0.72,0.0001,1.44
2388,29309092,*DI-MYTHYL AMINO ETHANETHIOL,0.05,0,,,
2389,29309093,DI-METHYL AMINO ETHANETHIOL HYDROCHLORIDE,,,0,0,
2390,29309094,*DIETHYL AMINO ETHANETHIOL,0.01,0,0.35,0.0001,"6,565.38"
2391,29309095,DI-ETHYL AMINO ETHANETHIOL HYDROCHLORIDE,,,0,0,
2392,29309097,"PHOSPHOROTHIOIC ACID, S[2-(DIETHYL AMINO) ETHYL] O, O-DIETHYL ESTER",0.04,0,0.07,0,85.24
2393,29309098,DICHIARO DIPHENYL SULPHONE,4.27,0.0011,4.02,0.0007,-5.95
2394,29309099,OTHER ORGANO-SULPHUR COMPNDS,158.39,0.0402,187.64,0.0306,18.47
2395,29311010,TETRAMETHYL LEAD,0.01,0,0.01,0,-6.85
2396,29312000,TRIBUTYLTIN COMPOUNDS,5.33,0.0014,4.36,0.0007,-18.24
2397,29313100,*DIMETHYL METHYLPHOSPHONATE,0,0,0,0,-75
2398,29313300,*DIETHYL ETHYLPHOSPHONATE,0,0,,,
2399,29313400,*DIETHYL ETHYLPHOSPHONATE,0.01,0,,,
2400,29313500,"*2, 4, 6-TRIPROPYL-1, 3, 5, 2, 4, 6-TRIOXATRIPHOSPHINANE 2, 4, 6-TRIOXIDE",,,,,
2401,29313700,"*BIS[(5-ETHYL-2-METHYL-2-OXIDO-1, 3, 2-DIOXAPHOSPHINAN-5-YL) METHYL]",0,0,,,
2402,29313800,*SALT OF METHYLPHOSPHONIC ACID AND (AMINOIMINOMETHYL)UREA (1: 1),0.02,0,,,
2403,29313900,*OTHER,7.46,0.0019,6.5,0.0011,-12.88
2404,29319010,*ORGANO ARSENIC COMPOUNDS,1.37,0.0003,2.59,0.0004,88.81
2405,29319090,OTHER,236.45,0.0599,263.66,0.043,11.51
2406,29321100,TETRAHYDROFURAN,65.13,0.0165,107.63,0.0176,65.26
2407,29321200,2-FURALDEHYDE(FURFURALDEHYDE),0.2,0.0001,0.41,0.0001,108.3
2408,29321300,FURFURYL ALCHL AND TETRAHYDROFURFURYL ALCHL,12.2,0.0031,19.59,0.0032,60.58
2409,29321400,SUCRALOSE,6.27,0.0016,13.44,0.0022,114.45
2410,29321910,HYDROXY-3-DIBENZFUREN CARBOXYLIC ACID,0.39,0.0001,1.37,0.0002,253.91
2411,29321990,OTHER CMPNDS CNTNG UNFUSED FURANRING (W/N)IN STRUCTURE,58.39,0.0148,58.65,0.0096,0.44
2412,29322010,"COUMARIN, METHYLCOUMARINS AND ETHYLCOUMARINS",1.67,0.0004,1.5,0.0002,-9.98
2413,29322020,PHENOLPHTHALEIN,0.02,0,0.08,0,271.56
2414,29322090,OTHER LACTONES,83.18,0.0211,108.95,0.0178,30.98
2415,29329100,IS0SAFR0LE,0.01,0,,,
2416,29329300,PIPERAN0L,1.07,0.0003,2.19,0.0004,105.15
2417,29329400,SAFR0LE,,,0,0,
2418,29329500,TETRAHYDROCANNABINOLS (ALL ISOMERS),,,0,0,
2419,29329910,CINEOLE,10.82,0.0027,15.83,0.0026,46.28
2420,29329990,OTHER,197.95,0.0502,197.09,0.0321,-0.43
2421,29331100,PHENAZONE (ANTIPYRIN) AND ITS DERIVATIVES,0.67,0.0002,0.81,0.0001,20.7
2422,29331910,3-CARBOXY (PARA SLPHPHNYL)-5 PYRAZOLONE,0.33,0.0001,0.01,0,-98.24
2423,29331920,1(2:5 DCHLR-4-SLPHPHNYL)-3-MTHYL-5-PYRAZLN,0.79,0.0002,1.39,0.0002,74.82
2424,29331930,3-MTHYL-1(4-SLPHO-0-TOLUYL-5-PYRAZOLDNE),0,0,,,
2425,29331940,PHENYL-METHYL PYRAZOLONE,1.01,0.0003,2.38,0.0004,135.29
2426,29331950,1-PHNYL-5-PYRAZLN-3-CRBOXYLC ACD ETHYLESTR,0.53,0.0001,0.25,0,-51.67
2427,29331970,ANALGIN,2.72,0.0007,2.24,0.0004,-17.63
2428,29331991,FLUORO-3-(DIFLUOROMETHYL)-1-METHYL-1 H- PYRAZOLE-4-CARBONYL FLUORIDE,0.54,0.0001,6.02,0.001,"1,016.83"
2429,29331999,OTHER,248.74,0.0631,173.57,0.0283,-30.22
2430,29332100,HYDANTOIN AND ITS DERIVATIVES,8.82,0.0022,3.08,0.0005,-65.1
2431,29332910,TINIDAZOLE,0.05,0,0.04,0,-30.27
2432,29332920,METRONIDAZOLE METRONIDIAZOLE BENZOATE,4.24,0.0011,5.67,0.0009,33.73
2433,29332930,MEBENDAZOLE,0.01,0,0.01,0,-11.11
2434,29332950,ALBENDAZ0LE,2.58,0.0007,0.41,0.0001,-83.96
2435,29332990,OTHER COMPNDS CNTNG AN UNFUSED IMIDAZOLE RING (W/N HYDRGNTD ) IN STRUCTURE,107.49,0.0273,97.28,0.0159,-9.5
2436,29333100,PYRIDINE AND ITS SALTS,40.08,0.0102,48.4,0.0079,20.78
2437,29333200,PIPERIDINE AND ITS SALTS,0.88,0.0002,0.56,0.0001,-36.18
2438,29333300,"*ALFENTANIL,ANILERIDINE,PROPIRAM AND TRI MEPE RIDINE ETC SALTS THEREOF",1.59,0.0004,0.84,0.0001,-47.57
2439,29333911,AMINO PYRIDINE,0.25,0.0001,0.24,0,-2.32
2440,29333912,ALPHA PICOLINE(2-METHYL PYRIDINE),0.03,0,0.02,0,-54.76
2441,29333913,GAMMA PICOLINE(4-METHYL PYRIDINE),1.99,0.0005,1.33,0.0002,-33.4
2442,29333914,CHLORPHENIRAMINE MALEATE,0.04,0,0,0,-88.92
2443,29333915,DIPHENOXYLATE HYDROCHLORIDE,0,0,,,
2444,29333916,BETA PIC0LINE ( 3-METHYL PYRIDINE ),18.85,0.0048,22.49,0.0037,19.33
2445,29333918,LUTIDINE (DIMETHYLE PYRIDINE),1.1,0.0003,0.29,0,-73.09
2446,29333919,OTHER DERIVATIVES OF PYRADINE,34.66,0.0088,42.75,0.007,23.34
2447,29333920,*PIPERIDINE AND ITS SALTS,6.43,0.0016,5.39,0.0009,-16.12
2448,29333930,*I-AZABICYCLO (2.2.2) OCTAN-3-OL,,,,,
2449,29333940,"BENZENE ACETIC ACID, ALPHA -HYDROXY-ALPHA-PHENYL, 1-AZABICYCLO[2.2.2.]OCT- 3-YL ESTER",,,0.04,0,
2450,29333990,OTHER CMPNDS CNTNG AN UNFUSED PYRDN RING (W/N HYDRGNTD ) IN STRUCTURE,206.31,0.0523,187.27,0.0305,-9.23
2451,29334100,LEVORPHANOL (INN) AND ITS SALTS,0.07,0,,,
2452,29334900,"OTHE CMPNDS CNTNG IN STRUCTURE A QUINOLINEOR ISOQUINOLINE RING SYSTEM (W/N HYDRGNTD),NOT FURTHER FUSED",84.86,0.0215,78.29,0.0128,-7.74
2453,29335200,MALONYLUREA (BARBITURIC ACID) AND ITS SALS,3.89,0.001,8.09,0.0013,107.74
2454,29335300,ALLOBARBITAL AND OTHR BARBITAL COMPNDS ANDITS SALTS,0.42,0.0001,2.62,0.0004,518.96
2455,29335400,"OTHER DERIVATIVES OF MALONYLUREA (BARBITURIC ACID ), SALTS THEREOF",0.5,0.0001,0.07,0,-86.45
2456,29335500,"LOPRAZOLAM, MECLOQUALONE, METHAQUALONE , ZIPEROL, SALTS THEREOF",,,0,0,
2457,29335910,AMINOPHYLLINE(CORDOPHYLIN),0.06,0,0.39,0.0001,604.17
2458,29335920,TRIMETHOPRIM,0.28,0.0001,1.31,0.0002,362.38
2459,29335930,DIETHYL CARBANAZINE CITRATE,,,0.05,0,
2460,29335940,1 - AMINO-4METHYL PIPERAZINE,,,0.07,0,
2461,29335990,OTHER CMPNDS CNTNG A PYRIMIDINE RING (W/N HYDRGNTD) OR PIPERAZINE RING IN STRUCTURE,286.3,0.0726,277.41,0.0453,-3.1
2462,29336100,MELAMINE,40.23,0.0102,146.14,0.0238,263.24
2463,29336910,CYANURIC ACID AND ITS SALTS,13.28,0.0034,28.83,0.0047,117.1
2464,29336920,"4-[4,6-BIS(2,4-D IMETHYLPHENYL)-1,3,5-TRIAZINE-2-YL]-1,3-BENZENEDIOL",0.03,0,0.02,0,-20.21
2465,29336930,TRIS(2-HYDROXYETHYL) ISOCYANURATE,0.04,0,1.51,0.0002,"3,416.74"
2466,29336940,ETHYLHEXYLTRIAZONE,0.03,0,0.09,0,243.66
2467,29336950,"2,4,6-TRI(2,4-DYHYDROXYL-3-METHYL PHENYL)-1,3,5-TRIAZINE",0.42,0.0001,0.89,0.0001,113.96
